Company_Name,Class,Designation,Location,Total_applicants
Wipro,Class 3,Project Manager, Maharashtra,0
Wipro,Class 3,Project Manager, Delhi,121
Wipro,Class 3,Project Manager, Delhi,0
Wipro,Class 3,Administrator, Telangana,0
Wipro,Class 3,Project Manager, Maharashtra,119
Wipro,Class 3,Administrator, Telangana,39
Wipro,Class 3,Administrator, Telangana,22
Wipro,Class 3,Test Engineer, Maharashtra,158
Wipro,Class 3,Administrator, Maharashtra,11
Wipro,Class 3,Administrator, Maharashtra,47
Wipro,Class 3,Service Level Manager, Maharashtra,20
Wipro,Class 3,Administrator, Maharashtra,71
Wipro,Class 3,Project Manager, Maharashtra,1
Wipro,Class 3,System Engineer, Maharashtra,104
Wipro,Class 3,Test Engineer, Karnataka,0
Wipro,Class 3,System Engineer, Maharashtra,0
Wipro,Class 3,Project Manager, Karnataka,0
Wipro,Class 3,Lead Administrator, Maharashtra,5
Wipro,Class 3,Lead Administrator, Maharashtra,8
Wipro,Class 3,Business Analyst, Karnataka,0
Wipro,Class 3,Project Manager, Karnataka,0
Wipro,Class 3,Project Manager, Karnataka,77
Wipro,Class 3,Technical Lead, Maharashtra,71
Wipro,Class 3,Business Analyst, Maharashtra,186
Wipro,Class 3,Developer, Maharashtra,191
Wipro,Class 3,Lead Administrator, Maharashtra,2
Wipro,Class 3,Technical Lead, Maharashtra,8
Wipro,Class 3,Developer, Maharashtra,34
Wipro,Class 3,Developer, Haryana,148
Wipro,Class 3,Project Lead, Maharashtra,27
Wipro,Class 3,Project Lead, Maharashtra,34
Wipro,Class 3,Consultant-Technology & Implementation, Maharashtra,72
Wipro,Class 3,DevOps Engineer, Karnataka,0
Wipro,Class 3,Delivery Manager, Tamil Nadu,0
Wipro,Class 3,Delivery Assurance Manager, Karnataka,3
Wipro,Class 3,Developer, Uttar Pradesh,0
Wipro,Class 3,Test Engineer, Tamil Nadu,0
Wipro,Class 3,DevOps Engineer, Telangana,0
Wipro,Class 3,Project Manager, West Bengal,52
Wipro,Class 3,Administrator, Telangana,57
Wipro,Class 3,Product Marketing Manager, Karnataka,0
Wipro,Class 3,Pre-sales consultant, Delhi,141
Wipro,Class 3,Cyber Security Analyst, Maharashtra,95
Wipro,Class 3,Delivery Manager, Karnataka,153
Wipro,Class 3,Technical Lead, Karnataka,25
Wipro,Class 3,Lead Administrator, Delhi,8
Wipro,Class 3,Cyber Security Analyst, Maharashtra,17
Wipro,Class 3,Program Manager (PM), Maharashtra,17
Wipro,Class 3,Cyber Security Analyst, Maharashtra,0
Wipro,Class 3,Administrator, Tamil Nadu,50
Wipro,Class 3,Project Lead, Karnataka,9
Wipro,Class 3,Developer, Maharashtra,156
Wipro,Class 3,Manager – Learning and Development (I&D), Karnataka,145
Wipro,Class 3,Cyber Security Analyst, Maharashtra,34
Wipro,Class 3,Project Lead, Karnataka,41
Wipro,Class 3,Cyber Security Analyst, Uttar Pradesh,0
Wipro,Class 3,Cyber Security Analyst, Telangana,24
Wipro,Class 3,Senior Consultant-Technology & Implementation, Telangana,11
Wipro,Class 3,Configurator, Maharashtra,23
Wipro,Class 3,Lead Administrator, Tamil Nadu,7
Wipro,Class 3,Manager – Learning and Development (I&D), Karnataka,127
Wipro,Class 3,Lead Administrator, Tamil Nadu,21
Wipro,Class 3,Project Lead, Karnataka,152
Wipro,Class 3,Developer, Kerala,0
Wipro,Class 3,Cyber Security Analyst, Kerala,112
Wipro,Class 3,Developer, Tamil Nadu,0
Wipro,Class 3,Service Delivery Lead, Tamil Nadu,0
Wipro,Class 3,Configurator, Delhi,92
Wipro,Class 3,ArtificiaI Intelligence Lead, Telangana,6
Wipro,Class 3,Application Architect, Maharashtra,2
Wipro,Class 3,Developer, Tamil Nadu,0
Wipro,Class 3,AWS Senior Cloud Developer, Telangana,12
Wipro,Class 3,Middleware Administrator, Karnataka,64
Wipro,Class 3,Developer, Maharashtra,0
Wipro,Class 3,System Engineer, Maharashtra,126
Wipro,Class 3,Lead Administrator, Kerala,22
Wipro,Class 3,Cyber Security Architect, Karnataka,16
Wipro,Class 3,Presales Manager_F&A, Delhi,13
Wipro,Class 3,Cyber Security Architect, Karnataka,10
Wipro,Class 3,Cyber Security Analyst, Kerala,25
Wipro,Class 3,Senior Consultant-Technology & Implementation, Karnataka,29
Wipro,Class 3,Cyber Security Architect, Karnataka,7
Wipro,Class 3,Lead Administrator, Tamil Nadu,22
Wipro,Class 3,Infrastructure Architect, Tamil Nadu,21
Wipro,Class 3,System Engineer, Uttar Pradesh,0
Wipro,Class 3,Citrix Admin-Administrator, Karnataka,50
Wipro,Class 3,Technical Lead, Tamil Nadu,142
Wipro,Class 3,Developer, Kerala,85
Wipro,Class 3,Cyber Security Analyst, Tamil Nadu,0
Wipro,Class 3,AI/ML - Data Scientist, Tamil Nadu,0
Wipro,Class 3,Pre-Sales Consultant, Karnataka,73
Wipro,Class 3,Big Data Developer, Karnataka,79
Wipro,Class 3,DevOps Lead, Maharashtra,12
Wipro,Class 3,Managing Consultant-Technology & Implementation, Karnataka,12
Wipro,Class 3,Domain Architect, Maharashtra,1
Wipro,Class 3,Data Analytics Architect, Maharashtra,8
Wipro,Class 3,Scrum Master, Telangana,112
Wipro,Class 3,Test Engineer, Tamil Nadu,0
Wipro,Class 3,Lead Developer, Karnataka,2
Wipro,Class 3,Tools Consultant, Karnataka,34
Wipro,Class 3,Cyber Security Analyst, Kerala,156
Wipro,Class 3,DevOps Engineer, Tamil Nadu,39
LTIMindtree,Class 1,Java Developer, Telangana,22
LTIMindtree,Class 1,Java Developer, Karnataka,6
LTIMindtree,Class 1,Opening for Scrum Master, Maharashtra,21
LTIMindtree,Class 1,PLSQL Development - LTIMindtree., Tamil Nadu,48
LTIMindtree,Class 1,Java Developer, Delhi,0
LTIMindtree,Class 1,Opening for Database Developer, Maharashtra,46
LTIMindtree,Class 1,PL/PM (Scrum Master), Maharashtra,31
LTIMindtree,Class 1,Program Manager, Delhi,3
LTIMindtree,Class 1,Java Developer, Maharashtra,6
LTIMindtree,Class 1,BA-P and C Insurance-Billing, Maharashtra,14
LTIMindtree,Class 1,Scrum Master, Delhi,5
LTIMindtree,Class 1,Scrum Master, Delhi,4
LTIMindtree,Class 1,Oracle EBS Apps Technical Consultant, Telangana,1
LTIMindtree,Class 1,Workday Consultant, Delhi,7
LTIMindtree,Class 1,Workday Consultant, Karnataka,8
LTIMindtree,Class 1,"Opening for Oracle Fusion HCM Technical Analyst in LTIM, India", West Bengal,11
