b'[Wipro, Class 3, Project Manager,  Maharashtra, 0]'
b'[Wipro, Class 3, Project Manager,  Delhi, 121]'
b'[Wipro, Class 3, Project Manager,  Delhi, 0]'
b'[Wipro, Class 3, Administrator,  Telangana, 0]'
b'[Wipro, Class 3, Project Manager,  Maharashtra, 119]'
b'[Wipro, Class 3, Administrator,  Telangana, 39]'
b'[Wipro, Class 3, Administrator,  Telangana, 22]'
b'[Wipro, Class 3, Test Engineer,  Maharashtra, 158]'
b'[Wipro, Class 3, Administrator,  Maharashtra, 11]'
b'[Wipro, Class 3, Administrator,  Maharashtra, 47]'
b'[Wipro, Class 3, Service Level Manager,  Maharashtra, 20]'
b'[Wipro, Class 3, Administrator,  Maharashtra, 71]'
b'[Wipro, Class 3, Project Manager,  Maharashtra, 1]'
